groupId,name,abbreviation,isSupplemental,publishedOn,modifiedOn,categoryId
23323,Trading Card Game Classic,CL,False,2023-11-17T00:00:00,2023-10-23T20:35:42.7,3
23286,SV04: Paradox Rift,SV04,False,2023-11-03T00:00:00,2023-11-08T20:33:52.017,3
23330,My First Battle,,False,2023-09-29T00:00:00,2023-10-23T20:33:21.807,3
23237,SV: Scarlet and Violet 151,MEW,False,2023-09-22T00:00:00,2023-11-06T16:08:28.54,3
23306,McDonald's Promos 2023,M23,False,2023-09-12T00:00:00,2023-10-02T20:09:15.973,3
23266,Trick or Trade BOOster Bundle 2023,TTBB23,False,2023-09-01T00:00:00,2023-09-26T20:11:50.543,3
23287,Prize Pack Series Three,,False,2023-08-14T00:00:00,2023-10-11T14:55:39.917,3
23228,SV03: Obsidian Flames,SV03,False,2023-08-11T00:00:00,2023-11-08T19:08:51.01,3
23120,SV02: Paldea Evolved,SV02,False,2023-06-09T00:00:00,2023-11-08T04:57:24.197,3
22872,SV: Scarlet & Violet Promo Cards,SVP,False,2023-03-31T00:00:00,2023-11-10T14:15:54.717,3
22873,SV01: Scarlet & Violet Base Set,SV1,False,2023-03-31T00:00:00,2023-11-10T15:22:04.753,3
23072,Prize Pack Series Two,,False,2023-03-03T00:00:00,2023-10-04T12:50:40.153,3
17688,Crown Zenith,CRZ,False,2023-01-20T00:00:00,2023-11-10T12:12:51.137,3
17689,Crown Zenith: Galarian Gallery,CRZ:GG,False,2023-01-20T00:00:00,2023-10-03T18:04:32.41,3
22880,Prize Pack Series Cards,,False,2022-11-30T00:00:00,2023-11-10T14:34:58.637,3
3170,SWSH12: Silver Tempest,SWSH12,False,2022-11-11T00:00:00,2023-11-04T00:24:10.147,3
17674,SWSH12: Silver Tempest Trainer Gallery,SWSH12: TG,False,2022-11-11T00:00:00,2023-06-30T11:50:49.767,3
3118,SWSH11: Lost Origin,SWSH11,False,2022-09-09T00:00:00,2023-11-10T17:00:13.957,3
3172,SWSH11: Lost Origin Trainer Gallery,SWSH11: TG,False,2022-09-09T00:00:00,2023-10-18T17:32:59.747,3
3179,Trick or Trade BOOster Bundle,TTBB,False,2022-09-01T00:00:00,2023-09-08T13:52:17.507,3
3150,McDonald's Promos 2022,MCD22,False,2022-08-03T00:00:00,2023-04-15T18:43:07.917,3
3064,Pokemon GO,PGO,False,2022-07-01T00:00:00,2023-10-18T13:58:18.263,3
3040,SWSH10: Astral Radiance,SWSH10,False,2022-05-27T00:00:00,2023-11-01T14:23:39.99,3
3068,SWSH10: Astral Radiance Trainer Gallery,SWSH10:TG,False,2022-05-27T00:00:00,2023-09-04T09:50:14.77,3
3051,Battle Academy 2022,BA22,False,2022-04-01T00:00:00,2023-06-05T11:53:06.74,3
2948,SWSH09: Brilliant Stars,SWSH09,False,2022-02-25T00:00:00,2023-11-06T21:13:07.367,3
3020,SWSH09: Brilliant Stars Trainer Gallery,SWSH09:TG,False,2022-02-25T00:00:00,2023-11-06T08:41:15.94,3
2906,SWSH08: Fusion Strike,SWSH08,False,2021-11-12T00:00:00,2023-11-01T15:30:22.353,3
2867,Celebrations,CLB,False,2021-10-08T00:00:00,2023-10-28T14:25:42.493,3
2931,Celebrations: Classic Collection,CCC,False,2021-10-08T00:00:00,2023-10-29T09:54:01.347,3
2848,SWSH07: Evolving Skies,SWSH07,False,2021-08-27T00:00:00,2023-11-10T16:48:16.573,3
2807,SWSH06: Chilling Reign,SWSH06,False,2021-06-18T00:00:00,2023-10-30T09:35:16.143,3
2765,SWSH05: Battle Styles,SWSH05,False,2021-03-19T00:00:00,2023-10-13T15:06:58.337,3
2776,First Partner Pack,FPP,True,2021-02-26T00:00:00,2022-12-20T18:15:03.66,3
2754,Shining Fates,SHF,False,2021-02-19T00:00:00,2023-11-07T14:14:47.527,3
2781,Shining Fates: Shiny Vault,SHFSV,False,2021-02-19T00:00:00,2023-09-25T13:11:05.067,3
2782,McDonald's 25th Anniversary Promos,MCD21,True,2021-02-09T00:00:00,2023-10-20T21:09:19.14,3
2701,SWSH04: Vivid Voltage,SWSH04,False,2020-11-13T00:00:00,2023-11-09T14:51:04.237,3
2685,Champion's Path,CHP,False,2020-09-25T00:00:00,2023-10-27T21:24:06.18,3
2675,SWSH03: Darkness Ablaze,SWSH03,False,2020-08-14T00:00:00,2023-10-27T21:26:12.057,3
2686,Battle Academy,BTA,True,2020-07-31T00:00:00,2023-09-19T16:28:23.15,3
2626,SWSH02: Rebel Clash,SWSH02,False,2020-05-01T00:00:00,2023-11-02T15:26:00.187,3
2585,SWSH01: Sword & Shield Base Set,SWSH01,False,2020-02-07T00:00:00,2023-10-27T16:55:54.447,3
2545,SWSH: Sword & Shield Promo Cards,SWSD,False,2019-11-15T00:00:00,2023-11-10T16:41:44.13,3
2534,SM - Cosmic Eclipse,SM12,False,2019-11-01T00:00:00,2023-10-28T05:33:58.507,3
